,JOUEUR,SELECTIONS,POINTS
?refer=joueur&GET_CAT=1&PARAM=427,Yvan QUENIN,6,20
?refer=joueur&GET_CAT=1&PARAM=408,Marc QUIBLIER,24,104
?refer=joueur&GET_CAT=1&PARAM=690,Régis RACINE,3,4
?refer=joueur&GET_CAT=1&PARAM=526,Michel RAT,81,454
?refer=joueur&GET_CAT=1&PARAM=533,Georges RAY,3,10
?refer=joueur&GET_CAT=1&PARAM=441,Pierre RAYNAUD,3,0
?refer=joueur&GET_CAT=1&PARAM=540,Jean-Baptiste RE,26,105
?refer=joueur&GET_CAT=1&PARAM=355,Maurice REAUBOURG,2,0
?refer=joueur&GET_CAT=1&PARAM=409,Lucien REBUFFIC,9,7
?refer=joueur&GET_CAT=1&PARAM=505,André RECK,2,9
?refer=joueur&GET_CAT=1&PARAM=573,Bruno RECOURA,8,17
?refer=joueur&GET_CAT=1&PARAM=330, REMUS,1,0
?refer=joueur&GET_CAT=1&PARAM=553,Jacques RENAUD,12,16
?refer=joueur&GET_CAT=1&PARAM=366,Henri RENAUDIN,1,0
?refer=joueur&GET_CAT=1&PARAM=470,Henri REY,60,314
?refer=joueur&GET_CAT=1&PARAM=500,Robert REY,2,3
?refer=joueur&GET_CAT=1&PARAM=449,Gaston RICARD,2,2
?refer=joueur&GET_CAT=1&PARAM=673,Antoine RIGAUDEAU,128,1500
?refer=joueur&GET_CAT=1&PARAM=655,Lionel RIGO,2,7
?refer=joueur&GET_CAT=1&PARAM=619,Robert RILEY,27,364
?refer=joueur&GET_CAT=1&PARAM=700,Rémi RIPPERT,17,28
?refer=joueur&GET_CAT=1&PARAM=678,Stéphane RISACHER,124,1046
?refer=joueur&GET_CAT=1&PARAM=398,René RIVAL,2,15
?refer=joueur&GET_CAT=1&PARAM=582,Jean-Luc ROEDIGER,2,2
?refer=joueur&GET_CAT=1&PARAM=368,Eugène RONNER,11,3
?refer=joueur&GET_CAT=1&PARAM=860,Maxime ROOS,2,9
?refer=joueur&GET_CAT=1&PARAM=485,Pierre ROQUES,6,11
?refer=joueur&GET_CAT=1&PARAM=829,Jonathan ROUSSELLE,9,32
?refer=joueur&GET_CAT=1&PARAM=501,Jean ROZEN,2,3
?refer=joueur&GET_CAT=1&PARAM=345,Antoine RUDLER,4,14
?refer=joueur&GET_CAT=1&PARAM=347,Francis RUDLER,6,24
?refer=joueur&GET_CAT=1&PARAM=450,Georges RUIN,1,0
?refer=joueur&GET_CAT=1&PARAM=662,Bruno RUIZ,2,4
?refer=joueur&GET_CAT=1&PARAM=534,Raphaël RUIZ,18,26
?refer=joueur&GET_CAT=1&PARAM=717,Thierry RUPERT,35,134
?refer=joueur&GET_CAT=1&PARAM=346,Amédée SABOURDY,5,4
?refer=joueur&GET_CAT=1&PARAM=339,Henri SAHUGUET,2,0
?refer=joueur&GET_CAT=1&PARAM=456,Raymond SAHY,20,38
?refer=joueur&GET_CAT=1&PARAM=421,Jean-Pierre SALIGNON,43,178
?refer=joueur&GET_CAT=1&PARAM=740,Yohann SANGARE,18,22
?refer=joueur&GET_CAT=1&PARAM=489,Aimé SARDIN,5,4
?refer=joueur&GET_CAT=1&PARAM=486,Pierre SAVETIER,8,26
?refer=joueur&GET_CAT=1&PARAM=431,Raymond SCHLIM,2,2
?refer=joueur&GET_CAT=1&PARAM=464,Paul SCHLUPP,48,202
?refer=joueur&GET_CAT=1&PARAM=732,Jérôme SCHMITT,16,49
?refer=joueur&GET_CAT=1&PARAM=574,Francis SCHNEIDER,9,4
?refer=joueur&GET_CAT=1&PARAM=551,Alain SCHOL,79,377
?refer=joueur&GET_CAT=1&PARAM=713,Dwayne SCHOLTEN,1,0
?refer=joueur&GET_CAT=1&PARAM=693,Laurent SCIARRA,113,649
?refer=joueur&GET_CAT=1&PARAM=636,Patrick SCUDO,7,17
?refer=joueur&GET_CAT=1&PARAM=521,Lucien SEDAT,26,69
?refer=joueur&GET_CAT=1&PARAM=801,Benjamin SENE,3,13
?refer=joueur&GET_CAT=1&PARAM=604,Jean-Michel SENEGAL,210,967
?refer=joueur&GET_CAT=1&PARAM=768,Kevin SERAPHIN,47,333
?refer=joueur&GET_CAT=1&PARAM=509,Justin SERRIER,2,4
?refer=joueur&GET_CAT=1&PARAM=353,André SEVE,1,0
?refer=joueur&GET_CAT=1&PARAM=515,Jean-Pierre SEYS,2,0
?refer=joueur&GET_CAT=1&PARAM=394,André SIENER,1,0
?refer=joueur&GET_CAT=1&PARAM=437,Jacques SILHOL,1,0
?refer=joueur&GET_CAT=1&PARAM=480,Fernand SITTERLE,2,0
?refer=joueur&GET_CAT=1&PARAM=694,Ronnie SMITH,20,79
?refer=joueur&GET_CAT=1&PARAM=748,William SOLIMAN,13,58
?refer=joueur&GET_CAT=1&PARAM=686,Moustapha SONKO,93,638
?refer=joueur&GET_CAT=1&PARAM=725,Karim SOUCHU,12,90
?refer=joueur&GET_CAT=1&PARAM=663,Christophe SOULE,53,145
?refer=joueur&GET_CAT=1&PARAM=532,André SOUVRE,8,8
?refer=joueur&GET_CAT=1&PARAM=410,Justy SPECKER,14,19
?refer=joueur&GET_CAT=1&PARAM=552,Jean-Pierre STAELENS,102,945
?refer=joueur&GET_CAT=1&PARAM=465,Gérard STURLA,40,91
?refer=joueur&GET_CAT=1&PARAM=412,Jean SWIDZINSKI,32,110
?refer=joueur&GET_CAT=1&PARAM=667,Abbas SY,3,0
?refer=joueur&GET_CAT=1&PARAM=624,Philip SZANYIEL,192,2359
?refer=joueur&GET_CAT=1&PARAM=871,Terry TARPEY,21,85
?refer=joueur&GET_CAT=1&PARAM=391,André TARTARY,6,11
?refer=joueur&GET_CAT=1&PARAM=555,Charles TASSIN,109,721
?refer=joueur&GET_CAT=1&PARAM=749,Steed TCHICAMBOUD,32,99
?refer=joueur&GET_CAT=1&PARAM=471,Henri THERON,16,51
?refer=joueur&GET_CAT=1&PARAM=473,Régis THERON,12,9
?refer=joueur&GET_CAT=1&PARAM=362,Lucien THEZE,1,5
?refer=joueur&GET_CAT=1&PARAM=417,Pierre THIOLON,35,152
?refer=joueur&GET_CAT=1&PARAM=331,Marius THOMAS,1,0
?refer=joueur&GET_CAT=1&PARAM=781,Kim TILLIE,42,144
?refer=joueur&GET_CAT=1&PARAM=816,Axel TOUPANE,29,97
?refer=joueur&GET_CAT=1&PARAM=753,Ali TRAORE,56,339
?refer=joueur&GET_CAT=1&PARAM=724,Ronny TURIAF,100,624
?refer=joueur&GET_CAT=1&PARAM=601,Jean-Louis VACHER,41,30
?refer=joueur&GET_CAT=1&PARAM=432,André VACHERESSE,70,327
?refer=joueur&GET_CAT=1&PARAM=674,Bertrand VAN BUTSELE,15,23
?refer=joueur&GET_CAT=1&PARAM=617,Bernard VANDENBROUCKE,2,0
?refer=joueur&GET_CAT=1&PARAM=770,Ludovic VATY,9,35
?refer=joueur&GET_CAT=1&PARAM=627,Marc VEAUDOR,1,2
?refer=joueur&GET_CAT=1&PARAM=606,Saint-Ange VEBOBE,76,214
?refer=joueur&GET_CAT=1&PARAM=466,Robert VERCRUYSSE,7,4
?refer=joueur&GET_CAT=1&PARAM=527,Jean-Claude VERGNE,14,44
?refer=joueur&GET_CAT=1&PARAM=490,Michel VERGNE,3,6
?refer=joueur&GET_CAT=1&PARAM=568,Yvon VERGNOL,1,0
?refer=joueur&GET_CAT=1&PARAM=334,Camille VERITE,1,0
?refer=joueur&GET_CAT=1&PARAM=369,Marcel VEROT,5,0
?refer=joueur&GET_CAT=1&PARAM=680,Jimmy VEROVE,6,8
?refer=joueur&GET_CAT=1&PARAM=596,Yves-Marie VEROVE,33,167
?refer=joueur&GET_CAT=1&PARAM=628,Georges VESTRIS,157,828
?refer=joueur&GET_CAT=1&PARAM=562,Jacques VEYRIER,4,6
?refer=joueur&GET_CAT=1&PARAM=502,Roger VEYRON,25,86
?refer=joueur&GET_CAT=1&PARAM=516,Henri VILLECOURT,27,29
?refer=joueur&GET_CAT=1&PARAM=583,Alain VINCENT,7,8
?refer=joueur&GET_CAT=1&PARAM=457,André VINCENT,1,1
?refer=joueur&GET_CAT=1&PARAM=517,Jean-Daniel VINSON,25,23
?refer=joueur&GET_CAT=1&PARAM=576,Jacques VIVIER,3,2
?refer=joueur&GET_CAT=1&PARAM=506,André WALLPOTH,1,5
?refer=joueur&GET_CAT=1&PARAM=698,Frédéric WEIS,100,461
?refer=joueur&GET_CAT=1&PARAM=894,Victor WEMBANYAMA,3,61
?refer=joueur&GET_CAT=1&PARAM=772,Léo WESTERMANN,28,86
?refer=joueur&GET_CAT=1&PARAM=620,Barry WHITE,43,408
?refer=joueur&GET_CAT=1&PARAM=584,Carlo WILM,25,10
?refer=joueur&GET_CAT=1&PARAM=385,Etienne WITTEVRONGHEL,3,0
?refer=joueur&GET_CAT=1&PARAM=378,Dimitri WOLKOFF,2,2
?refer=joueur&GET_CAT=1&PARAM=647,Robert WYMBS,2,10
?refer=joueur&GET_CAT=1&PARAM=510,Michel WYPYCZINSKI,1,2
?refer=joueur&GET_CAT=1&PARAM=856,Guerschon YABUSELE,26,268
?refer=joueur&GET_CAT=1&PARAM=491,Robert ZAGURY,16,41
?refer=joueur&GET_CAT=1&PARAM=422,André ZERWETS,1,1
?refer=joueur&GET_CAT=1&PARAM=609,Robert ZUTTION,10,17
