,JOUEUR,SELECTIONS,POINTS
?refer=joueur&GET_CAT=1&PARAM=837,Alexandre CHASSANG,12,46
?refer=joueur&GET_CAT=1&PARAM=406,Paul CHAUMONT,5,25
?refer=joueur&GET_CAT=1&PARAM=477,André CHAVET,30,67
?refer=joueur&GET_CAT=1&PARAM=400,Guy CHENEL,2,4
?refer=joueur&GET_CAT=1&PARAM=396,René CHOCAT,68,278
?refer=joueur&GET_CAT=1&PARAM=513,Jérôme CHRIST,58,205
?refer=joueur&GET_CAT=1&PARAM=598,Serge CLABAU,43,70
?refer=joueur&GET_CAT=1&PARAM=585,Marc CLERO,3,0
?refer=joueur&GET_CAT=1&PARAM=358,Robert COHU,27,45
?refer=joueur&GET_CAT=1&PARAM=478,Claude COLIGNON,3,0
?refer=joueur&GET_CAT=1&PARAM=589,Jean-Marc CONTER,8,16
?refer=joueur&GET_CAT=1&PARAM=442,Jean-Pierre CONTER,5,9
?refer=joueur&GET_CAT=1&PARAM=332,Jean-Marie CONTY,1,0
?refer=joueur&GET_CAT=1&PARAM=681,Bruno COQUERAN,19,21
?refer=joueur&GET_CAT=1&PARAM=544,Pierre CORDEVANT,15,42
?refer=joueur&GET_CAT=1&PARAM=857,Isaia CORDINIER,19,109
?refer=joueur&GET_CAT=1&PARAM=866,Petr CORNELIE,11,12
?refer=joueur&GET_CAT=1&PARAM=392,Georges COULON,1,0
?refer=joueur&GET_CAT=1&PARAM=671,Fabrice COURCIER,2,3
?refer=joueur&GET_CAT=1&PARAM=660,Félix COURTINARD,52,394
?refer=joueur&GET_CAT=1&PARAM=363,Jean COUTURIER,1,0
?refer=joueur&GET_CAT=1&PARAM=452,Robert CROST,11,22
?refer=joueur&GET_CAT=1&PARAM=635,Richard DACOURY,160,2242
?refer=joueur&GET_CAT=1&PARAM=672,Ken DANCY,1,0
?refer=joueur&GET_CAT=1&PARAM=743,Nando DE COLO,185,2048
?refer=joueur&GET_CAT=1&PARAM=434,Jean DEFFIN,1,0
?refer=joueur&GET_CAT=1&PARAM=633,Jean-Luc DEGANIS,94,551
?refer=joueur&GET_CAT=1&PARAM=610,Jean-Marie DEGANIS,29,64
?refer=joueur&GET_CAT=1&PARAM=587,Eric DEGONSE,3,2
?refer=joueur&GET_CAT=1&PARAM=514,Jean DEGROS,148,1061
?refer=joueur&GET_CAT=1&PARAM=675,Jim DEINES,16,59
?refer=joueur&GET_CAT=1&PARAM=328,Jules DELANNOY,1,0
?refer=joueur&GET_CAT=1&PARAM=374,Marcel DELCROIX,1,2
?refer=joueur&GET_CAT=1&PARAM=375,Paul DELMEULE,2,1
?refer=joueur&GET_CAT=1&PARAM=603,Patrick DEMARS,30,19
?refer=joueur&GET_CAT=1&PARAM=640,Valery DEMORY,86,446
?refer=joueur&GET_CAT=1&PARAM=425,René DERENCY,15,66
?refer=joueur&GET_CAT=1&PARAM=426,Maurice DESAYMONET,28,28
